Data Source,World Development Indicators,
,,
Last Updated Date,2018-09-21,
,,
Country Name,Country Code,"GNI per capita in $, 2017"
Aruba,ABW,
Afghanistan,AFG,570
Angola,AGO,3330
Albania,ALB,4320
Andorra,AND,
Arab World,ARB,6152.022632
United Arab Emirates,ARE,39130
Argentina,ARG,13040
Armenia,ARM,4000
American Samoa,ASM,
Antigua and Barbuda,ATG,14170
Australia,AUS,51360
Austria,AUT,45440
Azerbaijan,AZE,4080
Burundi,BDI,290
Belgium,BEL,41790
Benin,BEN,800
Burkina Faso,BFA,610
Bangladesh,BGD,1470
Bulgaria,BGR,7760
Bahrain,BHR,20240
"Bahamas, The",BHS,29170
Bosnia and Herzegovina,BIH,4940
Belarus,BLR,5280
Belize,BLZ,4390
Bermuda,BMU,
Bolivia,BOL,3130
Brazil,BRA,8580
Barbados,BRB,15540
Brunei Darussalam,BRN,29600
Bhutan,BTN,2720
Botswana,BWA,6820
Central African Republic,CAF,390
Canada,CAN,42870
Central Europe and the Baltics,CEB,12979.9931
Switzerland,CHE,80560
Channel Islands,CHI,
Chile,CHL,13610
China,CHN,8690
Cote d'Ivoire,CIV,1540
Cameroon,CMR,1360
"Congo, Dem. Rep.",COD,450
"Congo, Rep.",COG,1360
Colombia,COL,5830
Comoros,COM,760
Cabo Verde,CPV,2990
Costa Rica,CRI,11040
Caribbean small states,CSS,8985.204557
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,23720
Czech Republic,CZE,18160
Germany,DEU,43490
Djibouti,DJI,1880
Dominica,DMA,6990
Denmark,DNK,55220
Dominican Republic,DOM,6630
Algeria,DZA,3960
East Asia & Pacific (excluding high income),EAP,6987.414206
Early-demographic dividend,EAR,3351.560968
East Asia & Pacific,EAS,10170.41286
Europe & Central Asia (excluding high income),ECA,7369.879711
Europe & Central Asia,ECS,22651.4509
Ecuador,ECU,5890
"Egypt, Arab Rep.",EGY,3010
Euro area,EMU,35643.98127
Eritrea,ERI,
Spain,ESP,27180
Estonia,EST,18190
Ethiopia,ETH,740
European Union,EUU,32777.62388
Fragile and conflict affected situations,FCS,1503.349417
Finland,FIN,44580
Fiji,FJI,4970
France,FRA,37970
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,3590
Gabon,GAB,6610
United Kingdom,GBR,40530
Georgia,GEO,3790
Ghana,GHA,1490
Gibraltar,GIB,
Guinea,GIN,800
"Gambia, The",GMB,450
Guinea-Bissau,GNB,660
Equatorial Guinea,GNQ,7060
Greece,GRC,18090
Grenada,GRD,9650
Greenland,GRL,
Guatemala,GTM,4060
Guam,GUM,
Guyana,GUY,4460
High income,HIC,40135.99282
"Hong Kong SAR, China",HKG,46310
Honduras,HND,2250
Heavily indebted poor countries (HIPC),HPC,879.1654195
Croatia,HRV,12430
Haiti,HTI,760
Hungary,HUN,12870
IBRD only,IBD,5747.105879
IDA & IBRD total,IBT,4616.24578
IDA total,IDA,1289.927302
IDA blend,IDB,1773.696148
Indonesia,IDN,3540
IDA only,IDX,1047.84593
Isle of Man,IMN,
India,IND,1820
Not classified,INX,
Ireland,IRL,55290
"Iran, Islamic Rep.",IRN,5400
Iraq,IRQ,4770
Iceland,ISL,60830
Israel,ISR,37270
Italy,ITA,31020
Jamaica,JAM,4750
Jordan,JOR,3980
Japan,JPN,38550
Kazakhstan,KAZ,7890
Kenya,KEN,1440
Kyrgyz Republic,KGZ,1130
Cambodia,KHM,1230
Kiribati,KIR,2780
St. Kitts and Nevis,KNA,16030
"Korea, Rep.",KOR,28380
Kuwait,KWT,31430
Latin America & Caribbean (excluding high income),LAC,7413.350893
Lao PDR,LAO,2270
Lebanon,LBN,8310
Liberia,LBR,380
Libya,LBY,6540
St. Lucia,LCA,8780
Latin America & Caribbean,LCN,8200.198848
Least developed countries: UN classification,LDC,990.1019991
Low income,LIC,744.1459358
Liechtenstein,LIE,
Sri Lanka,LKA,3840
Lower middle income,LMC,2118.147908
Low & middle income,LMY,4450.722602
Lesotho,LSO,1280
Late-demographic dividend,LTE,8514.877302
Lithuania,LTU,15200
Luxembourg,LUX,70260
Latvia,LVA,14740
"Macao SAR, China",MAC,
St. Martin (French part),MAF,
Morocco,MAR,2860
Monaco,MCO,
Moldova,MDA,2180
Madagascar,MDG,400
Maldives,MDV,9570
Middle East & North Africa,MEA,7244.650082
Mexico,MEX,8610
Marshall Islands,MHL,4800
Middle income,MIC,4939.707145
"Macedonia, FYR",MKD,4880
Mali,MLI,770
Malta,MLT,23810
Myanmar,MMR,1190
Middle East & North Africa (excluding high income),MNA,3842.710161
Montenegro,MNE,7350
Mongolia,MNG,3290
Northern Mariana Islands,MNP,
Mozambique,MOZ,420
Mauritania,MRT,1100
Mauritius,MUS,10140
Malawi,MWI,320
Malaysia,MYS,9650
North America,NAC,56721.93486
Namibia,NAM,4600
New Caledonia,NCL,
